endpoint,nodeId,browseName,displayName,nodeClass,dataTypeId,valueRank,access,userAccess,currentValue
opc.tcp://plc:4840,ns=0;i=23495,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""AliasNameSearchPattern"",""dataType"":""ns=0;i=12"",""valueRank"":-1,""description"":{}},{""name"":""ReferenceTypeFilter"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=23496,OutputArguments,OutputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""AliasNodeList"",""dataType"":""ns=0;i=23468"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=23486,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""AliasNameSearchPattern"",""dataType"":""ns=0;i=12"",""valueRank"":-1,""description"":{}},{""name"":""ReferenceTypeFilter"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=23487,OutputArguments,OutputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""AliasNodeList"",""dataType"":""ns=0;i=23468"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=112,NamingRule,NamingRule,2,ns=0;i=120,-1,1,1,1
opc.tcp://plc:4840,ns=0;i=23461,OutputArguments,OutputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""AliasNodeList"",""dataType"":""ns=0;i=23468"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=23460,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""AliasNameSearchPattern"",""dataType"":""ns=0;i=12"",""valueRank"":-1,""description"":{}},{""name"":""ReferenceTypeFilter"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=11509,NamingRule,NamingRule,2,ns=0;i=120,-1,1,1,2
opc.tcp://plc:4840,ns=0;i=113,NamingRule,NamingRule,2,ns=0;i=120,-1,1,1,2
opc.tcp://plc:4840,ns=0;i=18005,ServiceStatus,ServiceStatus,2,ns=0;i=19,-1,1,1,"{""value"":0}"
opc.tcp://plc:4840,ns=0;i=18004,EndpointUrls,EndpointUrls,2,ns=0;i=12,1,1,1,[null]
opc.tcp://plc:4840,ns=0;i=18069,ResourceUri,ResourceUri,2,ns=0;i=12,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=18165,ProfileUri,ProfileUri,2,ns=0;i=12,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=16371,OutOfServiceState,OutOfServiceState,2,ns=0;i=21,-1,1,1,{}
opc.tcp://plc:4840,ns=0;i=9160,ActiveState,ActiveState,2,ns=0;i=21,-1,1,1,{}
opc.tcp://plc:4840,ns=0;i=16397,FirstInGroupFlag,FirstInGroupFlag,2,ns=0;i=1,-1,1,1,false
